time: 0; power: 0.0; position: 0
time: 4.697016514; power: 0.0; position: 1
time: 4.69995418; power: 0.0; position: 1
time: 4.702892431; power: 0.0; position: 1
time: 4.705790431; power: 0.0; position: 1
time: 4.70872489; power: 0.0; position: 1
time: 4.711505057; power: 0.0; position: 1
time: 4.714424932; power: 0.0; position: 1
time: 4.717971016; power: 0.0; position: 1
time: 4.720859391; power: 0.0; position: 1
time: 4.723672808; power: 0.0; position: 1
time: 4.726696808; power: 0.0; position: 1
time: 4.72963185; power: 0.0; position: 1
time: 4.732494559; power: 0.0; position: 1
time: 4.735319934; power: 0.0; position: 1
time: 4.738155226; power: 0.0; position: 1
time: 4.740968643; power: 0.0; position: 1
time: 4.744122435; power: 0.0; position: 1
time: 4.747129227; power: 0.0; position: 1
time: 4.750134269; power: 0.0; position: 1
time: 4.753030811; power: 0.0; position: 1
time: 4.755923269; power: 0.0; position: 1
time: 4.758714228; power: 0.0; position: 1
time: 4.76158102; power: 0.0; position: 1
time: 4.764394145; power: 0.0; position: 1
time: 4.767584396; power: 0.0; position: 1
time: 4.770599354; power: 0.0; position: 1
time: 4.773566188; power: 0.0; position: 1
time: 4.777837647; power: 0.0; position: 1
time: 4.780746439; power: 0.0; position: 1
time: 4.783627814; power: 0.0; position: 1
time: 4.786659689; power: 0.0; position: 1
time: 4.789640523; power: 0.0; position: 1
time: 4.792668606; power: 0.0; position: 1
time: 4.795714482; power: 0.0; position: 1
time: 4.798494649; power: 0.0; position: 1
time: 4.801577274; power: 0.0; position: 1
time: 4.804411983; power: 0.0; position: 1
time: 4.80726915; power: 0.0; position: 1
time: 4.810320275; power: 0.0; position: 1
time: 4.813155859; power: 0.0; position: 1
time: 4.816401526; power: 0.0; position: 1
time: 4.819744318; power: 0.0; position: 1
time: 4.822924943; power: 0.0; position: 1
time: 4.826368652; power: 0.0; position: 1
time: 4.829666819; power: 0.0; position: 1
time: 4.832955944; power: 0.0; position: 1
time: 4.836189069; power: 0.0; position: 1
time: 4.839509695; power: 0.0; position: 1
time: 4.842972653; power: 0.0; position: 1
time: 4.846790279; power: 0.0; position: 1
time: 4.849996279; power: 0.0; position: 1
time: 4.853320988; power: 0.0; position: 1
time: 4.856629071; power: 0.0; position: 1
time: 4.859867155; power: 0.0; position: 1
time: 4.86314053; power: 0.0; position: 1
time: 4.866459697; power: 0.0; position: 1
time: 4.869844489; power: 0.0; position: 1
time: 4.873206823; power: 0.0; position: 1
time: 4.876563323; power: 0.0; position: 1
time: 4.879746865; power: 0.0; position: 1
time: 4.883322699; power: 0.0; position: 1
time: 4.886522283; power: 0.0; position: 1
time: 4.889701741; power: 0.0; position: 1
time: 4.893134075; power: 0.0; position: 1
time: 4.897234034; power: 0.0; position: 1
time: 4.900380242; power: 0.0; position: 1
time: 4.903618618; power: 0.0; position: 1
time: 4.90702266; power: 0.0; position: 1
time: 4.910359618; power: 0.0; position: 1
time: 4.913526244; power: 0.0; position: 1
time: 4.916829661; power: 0.0; position: 1
time: 4.919955161; power: 0.0; position: 1
time: 4.923166411; power: 0.0; position: 1
time: 4.926547412; power: 0.0; position: 1
time: 4.929758079; power: 0.0; position: 1
time: 4.933079287; power: 0.0; position: 1
time: 4.936432579; power: 0.0; position: 1
time: 4.939773038; power: 0.0; position: 1
time: 4.943097163; power: 0.0; position: 1
time: 4.946825247; power: 0.0; position: 1
time: 4.949924206; power: 0.0; position: 1
time: 4.953167248; power: 0.0; position: 1
time: 4.95639104; power: 0.0; position: 1
time: 4.96003104; power: 0.0; position: 1
time: 4.964159582; power: 0.0; position: 1
time: 4.967488666; power: 0.0; position: 1
time: 4.970858874; power: 0.0; position: 1
time: 4.974372291; power: 0.0; position: 1
time: 4.977715958; power: 0.0; position: 1
time: 4.984256001; power: 0.0; position: 1
time: 5.009459503; power: 0.0; position: 1
time: 5.019137879; power: 0.0; position: 1
time: 5.021865546; power: 0.0; position: 1
time: 5.02472388; power: 0.0; position: 1
time: 5.027479547; power: 0.0; position: 1
time: 5.030493339; power: 0.0; position: 1
time: 5.033641006; power: 0.0; position: 1
time: 5.036444506; power: 0.0; position: 1
time: 5.039552506; power: 0.0; position: 1
time: 5.042554923; power: 0.0; position: 1
time: 5.045337132; power: 0.0; position: 1
time: 5.048453007; power: 0.0; position: 1
time: 5.051602132; power: 0.0; position: 1
time: 5.054402133; power: 0.0; position: 1
time: 5.057280591; power: 0.0; position: 1
time: 5.060275717; power: 0.0; position: 1
time: 5.063056175; power: 0.0; position: 1
time: 5.066205009; power: 0.0; position: 1
time: 5.070366218; power: 0.0; position: 1
time: 5.073547426; power: 0.0; position: 1
time: 5.076567927; power: 0.0; position: 1
time: 5.079752052; power: 0.0; position: 1
time: 5.082573927; power: 0.0; position: 1
time: 5.085746678; power: 0.0; position: 1
time: 5.088688136; power: 0.0; position: 1
time: 5.091444095; power: 0.0; position: 1
time: 5.094451762; power: 0.0; position: 1
time: 5.097273929; power: 0.0; position: 1
time: 5.100252137; power: 0.0; position: 1
time: 5.103095888; power: 0.0; position: 1
time: 5.106103263; power: 0.0; position: 1
time: 5.109355055; power: 0.0; position: 1
time: 5.112218347; power: 0.0; position: 1
time: 5.115162722; power: 0.0; position: 1
time: 5.118195764; power: 0.0; position: 1
time: 5.121038639; power: 0.0; position: 1
time: 5.12391214; power: 0.0; position: 1
time: 5.126780098; power: 0.0; position: 1
time: 5.129688307; power: 0.0; position: 1
time: 5.132801557; power: 0.0; position: 1
time: 5.136359016; power: 0.0; position: 1
time: 5.139811766; power: 0.0; position: 1
time: 5.143784267; power: 0.0; position: 1
time: 5.146708809; power: 0.0; position: 1
time: 5.149764017; power: 0.0; position: 1
time: 5.152745434; power: 0.0; position: 1
time: 5.155541351; power: 0.0; position: 1
time: 5.158529768; power: 0.0; position: 1
time: 5.161506519; power: 0.0; position: 1
time: 5.164537227; power: 0.0; position: 1
time: 5.167652519; power: 0.0; position: 1
time: 5.170570061; power: 0.0; position: 1
time: 5.17356577; power: 0.0; position: 1
time: 5.17665627; power: 0.0; position: 1
time: 5.179659562; power: 0.0; position: 1
time: 5.182727896; power: 0.0; position: 1
time: 5.185635813; power: 0.0; position: 1
time: 5.188495313; power: 0.0; position: 1
time: 5.191359772; power: 0.0; position: 1
time: 5.194244355; power: 0.0; position: 1
time: 5.19717998; power: 0.0; position: 1
time: 5.200226439; power: 0.0; position: 1
time: 5.203147773; power: 0.0; position: 1
time: 5.206198606; power: 0.0; position: 1
time: 5.209373107; power: 0.0; position: 1
time: 5.212124399; power: 0.0; position: 1
time: 5.214946274; power: 0.0; position: 1
time: 5.217897066; power: 0.0; position: 1
time: 5.220760941; power: 0.0; position: 1
time: 5.223872733; power: 0.0; position: 1
time: 5.228196692; power: 0.0; position: 1
time: 5.231016817; power: 0.0; position: 1
time: 5.234547151; power: 0.0; position: 1
time: 5.237471693; power: 0.0; position: 1
time: 5.240532151; power: 0.0; position: 1
time: 5.243519402; power: 0.0; position: 1
time: 5.246401652; power: 0.0; position: 1
time: 5.249649361; power: 0.0; position: 1
time: 5.252598403; power: 0.0; position: 1
time: 5.255391695; power: 0.0; position: 1
time: 5.258248862; power: 0.0; position: 1
time: 5.261028445; power: 0.0; position: 1
time: 5.263970487; power: 0.0; position: 1
time: 5.266822112; power: 0.0; position: 1
time: 5.269792154; power: 0.0; position: 1
time: 5.272780571; power: 0.0; position: 1
time: 5.27593553; power: 0.0; position: 1
time: 5.278698489; power: 0.0; position: 1
time: 5.281685156; power: 0.0; position: 1
time: 5.284706239; power: 0.0; position: 1
time: 5.287528698; power: 0.0; position: 1
time: 5.290588281; power: 0.0; position: 1
time: 5.29354024; power: 0.0; position: 1
time: 5.296428615; power: 0.0; position: 1
time: 5.299626449; power: 0.0; position: 1
time: 5.3057882; power: 0.0; position: 1
time: 5.310096408; power: 0.0; position: 1
time: 5.3131907; power: 0.0; position: 1
time: 5.316626242; power: 0.0; position: 1
time: 5.320178743; power: 0.0; position: 1
time: 5.323071785; power: 0.0; position: 1
time: 5.326978952; power: 0.0; position: 1
time: 5.333127286; power: 0.0; position: 1
time: 5.337211495; power: 0.0; position: 1
time: 5.340261161; power: 0.0; position: 1
time: 5.343464537; power: 0.0; position: 1
time: 5.346409787; power: 0.0; position: 1
time: 5.350483204; power: 0.0; position: 1
time: 5.353197454; power: 0.0; position: 1
time: 5.356203955; power: 0.0; position: 1
time: 5.359370872; power: 0.0; position: 1
time: 5.362120414; power: 0.0; position: 1
time: 5.365109997; power: 0.0; position: 1
time: 5.367797706; power: 0.0; position: 1
time: 5.370524206; power: 0.0; position: 1
time: 5.37298179; power: 0.0; position: 1
time: 5.375949498; power: 0.0; position: 1
time: 5.37859579; power: 0.0; position: 1
time: 5.381456457; power: 0.0; position: 1
time: 5.384318291; power: 0.0; position: 1
time: 5.386958458; power: 0.0; position: 1
time: 5.38948575; power: 0.0; position: 1
time: 5.39196375; power: 0.0; position: 1
time: 5.394624042; power: 0.0; position: 1
time: 5.397092417; power: 0.0; position: 1
time: 5.399546501; power: 0.0; position: 1
time: 5.402426126; power: 0.0; position: 1
time: 5.40493446; power: 0.0; position: 1
time: 5.40742996; power: 0.0; position: 1
time: 5.410096669; power: 0.0; position: 1
time: 5.412645835; power: 0.0; position: 1
time: 5.415100794; power: 0.0; position: 1
